month,ARK rewards,avg price,$ rewards,rewards in BTC,#nodes
2023-05,16986295,0.05,849314.75,30.80,200
2023-06,16438350,0.05,821917.5,29.72,534
2023-07,16986295,0.05,849314.75,28.23,978
2023-08,16986295,0.05,849314.75,30.39,1159
2023-09,16438350,0.05,821917.5,31.29,1717
2023-10,16438350,0.05,821917.5,27.86,2743
2023-11,16438350,0.05,821917.5,22.51,3499
2023-12,16438350,0.05,821917.5,19.38,9231
2024-01,16438350,0.05,821917.5,19.16,12408
2024-02,15342460,0.05,767123,15.58,19729
2024-03,16438350,0.05,821917.5,12.19,69883
2024-04,16438350,0.05,821917.5,12.40,76752
2024-05,16986295,0.05,849314.75,13.06,112061
2024-06,16438350,0.06738244367,1107656.193,16.77,143381
2024-07,16986295,0.07387236719,1254817.821,19.99,168428
2024-08,16986295,0.06243364969,1060516.392,17.64,175261
2024-09,16438350,0.05598154139,920244.1708,15.28,180721
2024-10,16986295,0.05536308029,940413.614,14.39,183371
2024-11,16438350,0.05711053648,938802.9874,10.96,187174
2024-12,16986295,0.07464159071,1267884.079,12.89,190107
2025-01,16986295,0.06385610749,1084678.679,10.88,190508