month,rewards,relative to total,avg price,$rewards,rewards in BTC,#miners
2022-05,"166,376",0.02%,0.04,"6,489",0.20,319
2022-06,"359,000",0.04%,0.04,"14,001",0.56,531
2022-07,"574,221",0.06%,0.04,"22,395",1.04,883
2022-08,"987,916",0.10%,0.04,"38,529",1.71,1111
2022-09,"1,144,932",0.11%,0.04,"44,652",2.25,1235
2022-10,"1,357,660",0.14%,0.04,"52,949",2.70,1366
2022-11,"1,442,938",0.14%,0.04,"56,275",3.18,1499
2022-12,"1,749,212",0.17%,0.04,"68,219",4.02,1549
2023-01,"2,966,756",0.30%,0.04,"115,703",5.77,1633
2023-02,"3,076,529",0.31%,0.04,"119,985",5.15,1861
2023-03,"4,411,939",0.44%,0.04,"172,066",6.89,2049
2023-04,"3,998,172",0.40%,0.04,"155,929",5.41,2686
2023-05,"4,199,129",0.42%,0.04,"163,766",5.94,3087
2023-06,"4,190,112",0.42%,0.04,"163,414",5.91,3176
2023-07,"2,315,328",0.23%,0.04,"90,298",3.00,3224
2023-08,"2,991,907",0.30%,0.04,"116,684",4.17,3288
2023-09,"2,455,393",0.25%,0.04,"94,267",3.59,3364
2023-10,"2,817,484",0.28%,0.05,"134,806",4.57,3458
2023-11,"2,792,214",0.28%,0.06,"165,513",4.53,3554
2023-12,"3,280,590",0.33%,0.10,"337,655",7.96,3719
2024-01,"3,938,077",0.39%,0.11,"441,100",10.28,4041
2024-02,"4,438,332",0.44%,0.11,"477,399",9.70,4379
2024-03,"5,851,241",0.59%,0.23,"1,355,040",20.10,4967
2024-04,"5,861,565",0.59%,0.23,"1,329,347",20.06,5517
2024-05,"7,006,341",0.70%,0.23,"1,603,182",24.64,6505
2024-06,"8,057,364",0.81%,0.18,"1,480,807",22.42,7380
2024-07,"4,774,364",0.48%,0.16,"754,554",12.02,8141
2024-08,"5,165,368",0.52%,0.14,"737,696",12.27,8959
2024-09,"5,431,990",0.54%,0.19,"1,025,553",17.03,9611
2024-10,"6,108,600",0.61%,0.25,"1,550,705",23.73,10335
2024-11,"6,383,043",0.64%,0.24,"1,509,930",17.62,10959
2024-12,"3,593,747",0.36%,0.26,"918,598",9.34,11864
2025-01,,,,,,12402