month,token rewards total (MOBILE),token rewards hotspots (MOBILE),token rewards relative to,$ price,$ rewards total,$ rewards hotspots,hotspots (onboarded)
08/2022,900000000,540000000,0.22%,0.001,900000,"540,000","2,000"
09/2022,3000000000,1800000000,0.72%,0.001,3000000,"1,800,000","3,400"
10/2022,3100000000,1860000000,0.74%,0.001,3100000,"1,860,000","5,400"
11/2022,3000000000,1800000000,0.72%,0.0007,2100000,"1,260,000","6,600"
12/2022,3100000000,1860000000,0.74%,0.00038,1178000,"706,800","7,500"
01/2023,3100000000,1860000000,0.74%,0.00036,1116000,"669,600","7,700"
02/2023,2800000000,1680000000,0.67%,0.00035,980000,"588,000","8,006"
03/2023,3100000000,1860000000,0.74%,0.00032,"992,000","595,200","8,417"
04/2023,2508768162,1505260897,0.60%,0.00028,"691,038","414,623","8,500"
05/2023,3356353639,2013812183,0.81%,0.00021,"719,656","431,793",8500
06/2023,3249383693,1949630216,0.78%,0.00014,"443,371","266,023",8500
07/2023,3406727484,2044036490,0.82%,0.00017,"580,006","348,004",8500
08/2023,2180746951,1308448171,0.52%,0.00031,"681,130","408,678",8500
09/2023,2076024710,1245614826,0.50%,0.00020,"407,097","244,258",8500
10/2023,2148207750,1288924650,0.52%,0.00014,"293,849","176,310",8500
11/2023,2076247567,1245748540,0.50%,0.00024,"502,229","301,337",8500
12/2023,2357259166,1414355500,0.57%,0.00259,"6,114,753","3,668,852",8500
01/2024,2447256066,1468353640,0.59%,0.00299,"7,325,443","4,395,266",8500
02/2024,2377024789,1426214873,0.57%,0.00328,"7,785,266","4,671,160",9092
03/2024,2540983607,1524590164,0.61%,0.00430,"10,936,238","6,561,743",12004
04/2024,2459016393,1475409836,0.59%,0.00267,"6,577,107","3,946,264",13992
05/2024,2540983607,1524590164,0.61%,0.00207,"5,271,284","3,162,771",15549
06/2024,2459016393,1475409836,0.59%,0.00141,"3,469,015","2,081,409",16504
07/2024,2540983607,1524590164,0.61%,0.00154,"3,916,339","2,349,803",17731
08/2024,2547720638,1528632383,0.61%,0.00125,"3,192,501","1,915,501",20688
09/2024,2465753425,1479452055,0.59%,0.00111,"2,748,530","1,649,118",21751
10/2024,2547945205,1528767123,0.61%,0.00091,"2,310,192","1,386,115",22975
11/2024,2465753425,1479452055,0.59%,0.00073,"1,799,266","1,079,560",23898
12/2024,2547945205,1528767123,0.61%,0.00126,"3,215,804","1,929,482",24783
01/2025,2383561644,1430136986,0.57%,0.00089,"2,121,536","1,272,922",25327