Month,token rewards (PCN),token rewards relative to supply,$-price,token rewards ($),# flowers (month avg),share rewards flowers (month avg),# bumblebees (month avg),share rewards bumblebees (month avg),# honeybees (month avg),share rewards honeybees (month avg)
02/2022,"3,900,770.00",0.39%,0.25,"975,193",72,0.87,60,0.09,0,0
03/2022,"9,300,000.00",0.93%,0.25,"2,325,000",110,0.86,129,0.13,0,0
04/2022,"9,000,000.00",0.90%,0.25,"2,250,000",175,0.75,198,0.24,8,0
05/2022,"9,290,534.35",0.93%,0.29,"2,670,330",257,0.67,231,0.28,106,0.04
06/2022,"9,281,913.41",0.93%,0.28,"2,643,611",456,0.70,279,0.25,218,0.05
07/2022,"9,300,000.00",0.93%,0.24,"2,198,713",538,0.70,387,0.24,296,0.05
08/2022,"9,300,000.00",0.93%,0.20,"1,847,697",738,0.70,564,0.26,418,0.04
09/2022,"9,000,000.00",0.90%,0.13,"1,199,754",808,0.70,720,0.27,524,0.03
10/2022,"9,300,000.00",0.93%,0.09,"850,159",888,0.70,774,0.28,540,0.02
11/2022,"9,000,000.00",0.90%,0.06,"582,208",780,0.70,796,0.28,547,0.02
12/2022,"9,900,000.00",0.99%,0.03,"290,529",715,0.70,773,0.29,479,0.01
01/2023,"9,300,000.00",0.93%,0.02,"175,446",729,0.70,719,0.28,475,0.01
02/2023,"8,400,000.00",0.84%,0.01,"46,175",729,0.70,719,0.28,475,0.01
03/2023,"9,300,000.00",0.93%,0.00,"22,212",729,0.70,719,0.28,475,0.01
04/2023,"9,000,000.00",0.90%,0.00,"9,091",729,0.70,719,0.28,475,0.01