Month,Circulating Supply,Otoy Treasury,Rewards,Token rewards (RNDR),Token rewards relative to total supply
0,"386,743,749","150,127,163","107,374,182",0,0.00%
1,"387,504,316","150,127,163","106,613,615","760,567",0.12%
2,"388,264,883","150,127,163","105,853,048","760,567",0.12%
3,"389,025,450","150,127,163","105,092,481","760,567",0.12%
4,"389,786,018","150,127,163","104,331,914","760,567",0.12%
5,"390,546,585","150,127,163","103,571,347","760,567",0.12%
6,"391,307,152","150,127,163","102,810,780","760,567",0.12%
7,"392,067,719","150,127,163","102,050,213","760,567",0.12%
8,"392,828,286","150,127,163","101,289,645","760,567",0.12%
9,"393,588,853","150,127,163","100,529,078","760,567",0.12%
10,"394,349,420","150,127,163","99,768,511","760,567",0.12%
11,"395,109,987","150,127,163","99,007,944","760,567",0.12%
12,"395,870,555","150,127,163","98,247,377","760,567",0.12%
13,"396,362,686","150,127,163","97,755,245","492,132",0.08%
14,"396,854,818","150,127,163","97,263,114","492,132",0.08%
15,"397,346,950","150,127,163","96,770,982","492,132",0.08%
16,"397,839,081","150,127,163","96,278,850","492,132",0.08%
17,"398,331,213","150,127,163","95,786,719","492,132",0.08%
18,"398,823,345","150,127,163","95,294,587","492,132",0.08%
19,"399,315,476","150,127,163","94,802,455","492,132",0.08%
20,"399,807,608","150,127,163","94,310,324","492,132",0.08%
21,"400,299,740","150,127,163","93,818,192","492,132",0.08%
22,"400,791,871","150,127,163","93,326,060","492,132",0.08%
23,"401,284,003","150,127,163","92,833,929","492,132",0.08%
24,"401,776,135","150,127,163","92,341,797","492,132",0.08%
25,"402,268,266","150,127,163","91,849,665","492,132",0.08%
26,"402,760,398","150,127,163","91,357,534","492,132",0.08%
27,"403,252,530","150,127,163","90,865,402","492,132",0.08%
28,"403,744,661","150,127,163","90,373,270","492,132",0.08%
29,"404,236,793","150,127,163","89,881,139","492,132",0.08%
30,"404,728,925","150,127,163","89,389,007","492,132",0.08%
31,"405,221,056","150,127,163","88,896,875","492,132",0.08%
32,"405,713,188","150,127,163","88,404,744","492,132",0.08%
33,"406,205,320","150,127,163","87,912,612","492,132",0.08%
34,"406,697,451","150,127,163","87,420,480","492,132",0.08%
35,"407,189,583","150,127,163","86,928,349","492,132",0.08%
36,"407,681,715","150,127,163","86,436,217","492,132",0.08%
37,"408,061,998","150,127,163","86,055,933","380,284",0.06%
38,"408,442,282","150,127,163","85,675,650","380,284",0.06%
39,"408,822,565","150,127,163","85,295,366","380,284",0.06%
40,"409,202,849","150,127,163","84,915,083","380,284",0.06%
41,"409,583,132","150,127,163","84,534,799","380,284",0.06%
42,"409,963,416","150,127,163","84,154,515","380,284",0.06%
43,"410,343,700","150,127,163","83,774,232","380,284",0.06%
44,"410,723,983","150,127,163","83,393,948","380,284",0.06%
45,"411,104,267","150,127,163","83,013,665","380,284",0.06%
46,"411,484,550","150,127,163","82,633,381","380,284",0.06%
47,"411,864,834","150,127,163","82,253,098","380,284",0.06%
48,"412,245,117","150,127,163","81,872,814","380,284",0.06%
49,"412,580,662","150,127,163","81,537,270","335,544",0.05%
50,"412,916,206","150,127,163","81,201,725","335,544",0.05%
51,"413,251,750","150,127,163","80,866,181","335,544",0.05%
52,"413,587,295","150,127,163","80,530,637","335,544",0.05%
53,"413,922,839","150,127,163","80,195,092","335,544",0.05%
54,"414,258,383","150,127,163","79,859,548","335,544",0.05%
55,"414,593,928","150,127,163","79,524,004","335,544",0.05%
56,"414,929,472","150,127,163","79,188,460","335,544",0.05%
57,"415,265,016","150,127,163","78,852,915","335,544",0.05%
58,"415,600,561","150,127,163","78,517,371","335,544",0.05%
59,"415,936,105","150,127,163","78,181,827","335,544",0.05%
60,"416,271,649","150,127,163","77,846,282","335,544",0.05%